,Fat%,PLA2G2A,CTH,PHGDH,APOA2,SERPINC1,TPO,APOB,FABP1,PAX8,LRP2,AGXT,KNG1,ADH4,C9,BHMT,HLA-G,IYD,PLG,CYP3A4,CYP3A43,TG,MAT1A,PRLHR,F2,GRIA4,APOC3,APOA1,HSD17B6,NTS,TSHR,TAT,HPR,KISS1R,CREB3L3,CYP2A6,APOC1,F9
18,10.44572245,428,236,3243,8,2,95,22,21,33,0,4,11,11,4,11,21,4,4,11,11,100,1656,32,3,194,12,17,9,6,2,4,10,1,5,8,32,2
72,10.51687682,183,544,2844,29,10,45,52,12,100,0,12,5,10,5,2,95,14,5,533,110,22,2206,4,8,58,12,17,14,0,0,12,15,4,10,3,230,0
42,10.97197966,288,243,3923,23,6,90,20,11,99,2,7,6,1,5,8,21,35,10,7,33,331,1485,35,4,84,27,28,11,4,5,6,0,11,1,4,1138,3
74,11.24984006,66,398,2759,2,6,90,6,4,64,6,3,1,4,4,0,34,81,3,29,75,724,1673,56,0,91,5,13,6,0,13,4,6,8,3,1,56,0
73,11.24984006,66,398,2759,2,6,90,6,4,64,6,3,1,4,4,0,34,81,3,29,75,724,1673,56,0,91,5,13,6,0,13,4,6,8,3,1,56,0
11,11.52232297,205,533,2478,9,2,76,46,19,5,4,15,13,5,4,6,55,10,6,6241,288,15,2760,9,4,45,19,34,5,4,7,13,4,2,4,4,103,0
32,11.90731153,41,127,3789,4,2,40,2,6,25,0,10,1,4,0,7,37,15,0,13,5,127,560,62,1,46,5,33,8,8,6,6,2,6,4,0,55,1
59,14.50667849,336,227,2614,10,10,15,8,7,41,2,6,4,7,3,3,46,10,0,13,28,23,2119,21,2,60,16,19,9,0,3,3,2,5,0,2,194,2
58,14.50667849,336,227,2614,10,10,15,8,7,41,2,6,4,7,3,3,46,10,0,13,28,23,2119,21,2,60,16,19,9,0,3,3,2,5,0,2,194,2
78,15.36429225,517,698,5824,2,7,197,28,0,80,1,0,2,6,0,6,37,54,4,4002,677,522,3181,80,2,69,4,25,11,0,18,0,3,7,5,1,90,0
21,15.85494245,647,556,5523,6,5,149,51,9,42,0,31,6,10,0,3,164,119,6,269,44,110,3425,30,2,79,11,96,13,2,14,19,5,0,4,2,992,0
30,16.42708298,26,541,5745,0,7,24,2,10,84,0,0,2,4,2,8,72,11,0,5,15,55,10775,37,0,22,0,5,5,0,4,0,0,1,1,4,28,0
65,16.53861568,76,117,1779,7,9,32,7,14,43,1,6,0,0,2,4,28,8,2,12,11,29,1083,0,3,19,3,10,4,4,2,8,4,0,161,1,37,2
33,16.57087347,117,741,3899,9,12,34,42,10,114,0,4,8,0,0,10,31,8,9,1755,407,68,2410,41,2,119,22,31,7,0,8,7,7,0,8,1,65,2
68,17.01522435,249,205,1729,0,0,22,0,0,66,2,0,0,4,0,0,5,16,5,7,10,193,621,30,1,81,1,0,6,6,8,4,0,8,0,0,26,0
67,17.01522435,249,205,1729,0,0,22,0,0,66,2,0,0,4,0,0,5,16,5,7,10,193,621,30,1,81,1,0,6,6,8,4,0,8,0,0,26,0
45,17.55449487,30,388,9902,0,4,27,7,8,25,0,0,2,7,2,4,109,24,9,18,72,174,11981,104,0,349,1,34,0,0,17,22,8,0,1,3,55,0
14,17.86248444,144,408,2950,14,8,43,12,5,33,6,6,6,4,3,9,30,8,4,24382,2443,143,2459,131,4,42,14,20,8,0,12,14,7,0,6,1,52,2
19,17.98027573,528,370,2345,6,24,99,60,4,151,3,17,9,9,5,9,119,14,7,1558,160,107,2591,20,2,184,6,32,21,4,5,17,20,6,119,5,997,2
40,18.09106592,48,273,4845,11,11,27,14,3,182,2,11,14,0,0,6,5,24,4,3,21,69,3604,118,0,413,2,56,7,0,13,0,2,19,8,3,456,4
92,18.11339932,615,904,8168,26,14,72,14,34,12,0,17,9,14,8,8,18,0,4,35,10,43,1499,14,7,60,33,48,6,2,2,14,4,41,9,4,49,2
66,18.77213023,854,1231,4868,0,8,80,5,0,106,2,1,0,4,0,4,53,24,0,5,4,390,6708,2,0,197,0,1,5,2,9,5,8,1381,34,4,65,0
83,19.13004038,53,498,5161,6,2,16,15,6,6,1,6,5,0,2,5,55,27,6,6,1,31,5000,23,5,101,5,22,2,2,4,4,4,0,1,5,54,0
80,20.48727437,90,360,3155,16,9,123,34,17,27,2,8,4,4,6,9,82,28,1,1613,219,14,1757,15,1,107,24,21,10,2,6,7,10,15,6,1,29,0
17,20.78361724,1103,581,2379,4,5,313,14,1,27,1,12,2,2,2,3,12,14,4,112,216,136,2436,191,2,21,16,31,5,10,8,0,5,32,1,6,62,0
36,22.22792265,16,468,4283,6,12,72,31,13,31,0,10,5,4,0,6,56,58,4,25,24,80,3665,18,2,71,9,34,4,0,3,5,4,3,2,2,32,2
85,22.7150545,49,574,3563,4,2,82,32,5,42,4,21,3,1,0,5,28,28,4,4578,563,29,1781,9,0,45,2,15,12,4,3,21,7,2,5,5,80,0
84,22.7150545,49,574,3563,4,2,82,32,5,42,4,21,3,1,0,5,28,28,4,4578,563,29,1781,9,0,45,2,15,12,4,3,21,7,2,5,5,80,0
43,22.72919144,136,869,13828,22,32,214,22,2,41,2,11,14,6,4,17,115,32,12,62,58,118,3421,44,14,126,13,44,21,0,34,7,5,22,6,2,6962,3
61,23.43353728,53,247,2003,15,8,116,55,15,16,1,21,3,1,6,4,7,4,17,1210,305,4,1083,16,13,17,40,47,7,0,6,16,3,10,5,8,47,2
87,26.13863305,155,162,2801,8,6,77,32,11,26,1,6,2,3,8,9,27,88,8,24,17,311,2114,32,0,17,14,20,8,2,1,21,9,6,0,4,56,1
86,26.13863305,155,162,2801,8,6,77,32,11,26,1,6,2,3,8,9,27,88,8,24,17,311,2114,32,0,17,14,20,8,2,1,21,9,6,0,4,56,1
88,26.13863305,155,162,2801,8,6,77,32,11,26,1,6,2,3,8,9,27,88,8,24,17,311,2114,32,0,17,14,20,8,2,1,21,9,6,0,4,56,1
64,26.34577552,45,471,3980,12,24,16,19,12,1,7,5,0,1,4,2,18,10,1,7,3,17,1287,2,4,90,14,22,7,0,7,9,9,16,35,2,109,0
8,28.80185098,116,321,3272,36,16,91,49,20,154,4,18,6,16,21,8,55,115,18,37,52,152,3396,29,14,235,40,66,12,7,26,16,6,19,16,10,173,0
34,28.98386729,1866,466,4630,0,5,22,19,9,165,0,0,5,16,7,13,72,15,6,19,10,34,1287,26,2,30,15,7,12,2,8,15,11,0,38,4,44,0
38,29.31854821,350,1470,11703,51,13,32,78,27,38,1,31,9,2,2,26,57,12,8,27,12,102,4395,52,15,468,92,144,6,2,6,30,18,36,11,25,62,9
55,30.54572927,996,340,6790,2,12,741,17,0,376,19,1,0,4,3,18,35,299,2,376,136,3306,1214,33,6,290,0,5,17,2,54,17,10,4,22,11,174,0
75,31.120127399999998,73,265,2397,7,13,82,22,10,6,0,3,0,0,1,4,57,2,3,538,419,21,2408,70,9,28,4,8,11,2,5,10,4,3,4,0,165,2
